num,cputime_dif,depth,high,image,tension,time,velocity,volume,weld_velocity,width,wire_l
0,0.10863800500010257,-1.4346035278642628,2.8094319087341812,3011.0,24.5,0.21600000000000003,4.8,0.5371666550636292,10.0,4.274208606992159,13.56
1,0.10985984800208826,-1.4345668925179054,2.8213147141696084,3035.0,24.5,0.24,4.8,0.6728146076202393,10.0,4.3206771173548875,13.08
2,0.10890334999930927,-1.4345250255871707,2.8690500511743413,3058.0,24.5,0.263,4.8,0.3960919976234436,10.0,4.390295290825429,12.84
3,0.10832363300141877,-1.4345040930381872,2.9287791899529654,3063.0,24.5,0.268,4.8,0.5154619216918945,10.0,4.4482156914949655,13.32
4,0.10896980600227836,-1.4344831612018998,2.928736454120545,3080.0,24.5,0.28500000000000003,4.8,0.7216477394104004,10.0,4.448369061201895,14.04
5,0.1094431550009176,-1.4344622298746592,2.9286937193274287,3082.0,24.5,0.28700000000000003,4.8,0.010851862840354444,10.0,4.448522439722399,14.04
6,0.108558144998824,-1.4344622298746592,2.9286937193274287,3085.0,24.5,0.29,4.8,0.2875734567642212,10.0,4.448522439722399,13.8
7,0.10833407799873383,-1.434441299260052,2.9884193734584414,3099.0,24.5,0.304,4.8,0.195332869887352,10.0,4.448675830583183,14.04
8,0.11254430799817784,-1.4344308341054504,2.9883975710530217,3100.0,24.5,0.305,4.8,0.2658697366714477,10.0,4.448752528658126,14.28
9,0.11149494100027367,-1.4344203691544466,3.048143284453199,3107.0,24.5,0.312,4.8,1.6657570600509644,10.0,4.4488292302593635,12.84
10,0.10987856299834677,-1.4344203691544466,3.048143284453199,3108.0,24.5,0.313,4.8,0.8084624409675598,10.0,4.4488292302593635,13.56
11,0.10912755200115498,-1.4343994397614128,3.08794309303367,3122.0,24.5,0.327,4.8,0.195332869887352,10.0,4.44898264227838,13.8
12,0.1090857640010654,-1.434388975217585,3.1078427796381005,3123.0,24.5,0.32799999999999996,4.8,0.2658697366714477,10.0,4.449059350932986,14.04
13,0.10892989000058152,-1.4343785108773364,3.107820106900895,3130.0,24.5,0.335,4.8,1.8918378353118896,10.0,4.449136063114618,12.4
14,0.11370783299935285,-1.4343785108773364,3.107820106900895,3131.0,24.5,0.336,4.8,1.8484306335449217,10.0,4.449136063114618,14.04
15,0.1083715860004304,-1.4343680466897684,3.1675627697732383,3139.0,24.5,0.34400000000000003,4.8,0.4991851150989533,10.0,4.449212777941691,14.52
16,0.10974155199801316,-1.4343523507137692,3.1675281078262403,3147.0,24.5,0.35200000000000004,4.8,1.1285914182662964,10.0,4.449327855473518,13.56
17,0.1086532690023887,-1.4343471187726606,3.1675165539562924,3149.0,24.5,0.354,4.8,1.616923689842224,10.0,4.4493662155327005,15.0
18,0.11484071200175094,-1.4343471187726606,3.1675165539562924,3150.0,24.5,0.355,4.8,0.00542585039511323,10.0,4.4493662155327005,15.0
19,0.10999565699967206,-1.4343471187726606,3.1675165539562924,3151.0,24.5,0.35600000000000004,4.8,1.090610146522522,10.0,4.4493662155327005,14.04
20,0.10929158399812876,-1.434336655043114,3.167493446553544,3152.0,24.5,0.35700000000000004,4.8,0.5480173230171204,10.0,4.449442938296914,13.56
21,0.1096405379976204,-1.434336655043114,3.167493446553544,3153.0,24.5,0.358,4.8,0.0054260119795799255,10.0,4.449442938296914,13.56
22,0.1085556030011503,-1.4343209597541269,3.1674587861236976,3166.0,24.5,0.371,4.8,0.2007588893175125,10.0,4.449558027735279,13.8
23,0.10928733399850897,-1.4343157280420191,3.1674472327594594,3167.0,24.5,0.37200000000000005,4.8,2.718386650085449,10.0,4.449596391763442,11.4
24,0.17031767899970873,-1.4343157280420191,3.1674472327594594,3168.0,24.5,0.373,4.8,2.9788308143615723,10.0,4.449596391763442,14.04
25,0.11372528899664758,-1.4343052647704642,3.1674241263681084,3173.0,24.5,0.37799999999999995,4.8,3.0113859176635738,10.0,4.449673122466028,11.4
26,0.11056025499783573,-1.4343052647704642,3.1674241263681084,3174.0,24.5,0.379,4.8,2.436239004135132,10.0,4.449673122466028,13.56
27,0.11336271100299199,-1.4342948016515662,3.1674010203138754,3179.0,24.5,0.384,4.8,0.7867576479911804,10.0,4.449749855815013,14.28
28,0.11023225900135004,-1.4342948016515662,3.1674010203138754,3180.0,24.5,0.385,4.8,0.26587098836898804,10.0,4.449749855815013,14.52
29,0.11610596199898282,-1.4342738759226108,3.167354809329099,3192.0,24.5,0.397,4.8,0.0651111751794815,10.0,4.449903331334998,14.52
30,0.10983413700159872,-1.4342634132107817,3.1673317041738094,3194.0,24.5,0.39899999999999997,4.8,0.5317398309707642,10.0,4.449980071741731,15.0
31,0.11153316700074356,-1.4342634132107817,3.1673317041738094,3195.0,24.5,0.4,4.8,0.8193143606185913,10.0,4.449980071741731,14.28
32,0.10954175400183884,-1.4342634132107817,3.1673317041738094,3196.0,24.5,0.401,4.8,0.26587098836898804,10.0,4.449980071741731,14.52
33,0.1097185049984546,-1.4342477195246475,3.1672970472835966,3206.0,24.5,0.411,4.8,1.6820359230041504,10.0,4.450095188969192,13.08
34,0.10949793599866098,-1.4342424883468163,3.1672854950992195,3207.0,24.5,0.412,4.8,1.9044983386993408,10.0,4.450133562260708,11.4
35,0.10900005999792484,-1.4342320261437909,3.1672623910675384,3213.0,24.5,0.418,4.8,2.680405139923096,10.0,4.45021031149096,13.8
36,0.11046032299782382,-1.4939535519351506,3.107423388025113,3244.0,24.5,0.449,4.8,0.43949922919273376,10.0,4.450478958507101,13.56
